Date,WaterUsage,ProductionLevel,Employees,Temperature,DayOfWeek,Month,Date_ordinal
2022-02-17,131.97471518838634,49.96325341002996,72,19.951305711883283,3,2,738203
2022-02-18,130.27884357808065,49.92438820665684,93,22.27082964697636,4,2,738204
2022-02-19,122.9459212253298,42.33649513619167,58,20.44655937574313,5,2,738205
2022-02-20,114.86852286502216,46.16588609569239,91,19.55546895187446,6,2,738206
2022-02-21,138.86646600812938,55.75283695133247,76,19.29885227678757,0,2,738207
2022-02-22,116.91853517225776,52.73764655670493,38,20.983346267894383,1,2,738208
2022-02-23,129.51498227427464,47.81693535965426,77,22.42379205122543,2,2,738209
2022-02-24,116.66423011961206,49.874466784846845,62,21.766728950831364,3,2,738210
2022-02-25,123.98904498390124,51.12252960096423,55,22.799808907312222,4,2,738211
2022-02-26,120.5143118372194,53.61062124710763,83,17.778889618486737,5,2,738212
2022-02-27,120.3223852586427,51.728054304353726,52,22.88358133878024,6,2,738213
2022-02-28,153.57662598601456,51.36525046672044,74,19.382222638431728,0,2,738214
2022-03-01,137.1177448624535,54.55234973296759,95,22.295974700490305,1,3,738215
2022-03-02,121.35898542827196,51.58023586082484,61,19.156094315464788,2,3,738216
2022-03-03,126.94962168028388,52.49239725073742,79,18.258258228408724,3,3,738217
2022-03-04,127.3108734611377,48.29238340022998,62,19.743923309941835,4,3,738218
2022-03-05,113.51780458654731,49.84622731038924,12,19.15464405320696,5,3,738219
2022-03-06,125.72306961904228,50.62987000726543,94,21.241441204151855,6,3,738220
2022-03-07,155.6933463397694,49.813226209297575,71,19.187594220824888,0,3,738221
2022-03-08,129.3184940083161,53.30696665021746,89,21.94903421184221,1,3,738222
2022-03-09,122.45881701790424,48.31393995425545,27,21.63349505231629,2,3,738223
2022-03-10,118.9995491262671,53.525494174015286,15,21.12647057807065,3,3,738224
2022-03-11,127.6421278007731,49.89663352840824,73,22.816756474760943,4,3,738225
2022-03-12,119.97108924205192,49.502412707431866,21,21.255501940790808,5,3,738226
2022-03-13,131.10653761114375,53.87733773749836,55,20.58596798781821,6,3,738227
2022-03-14,154.34950693076306,48.27849242878478,96,16.583098200302157,0,3,738228
2022-03-15,121.66922461858226,49.780418005104224,46,20.66620526048004,1,3,738229
2022-03-16,125.0754088810446,49.80326017096485,23,20.044792751827792,2,3,738230
2022-03-17,119.22188069705209,50.96156027691322,44,15.918433131482807,3,3,738231
2022-03-18,122.57491151272312,45.86588345397179,96,22.92722895158343,4,3,738232
2022-03-19,136.74966892485384,53.38180316710872,47,21.189874007142944,5,3,738233
2022-03-20,126.67815781858468,54.79439254597157,17,20.14567530367665,6,3,738234
2022-03-21,155.8725121869104,46.40037625952373,49,18.12058896369723,0,3,738235
2022-03-22,113.56742797543976,47.22664888423423,23,19.881465868476848,1,3,738236
2022-03-23,132.22581134339177,50.939551904149866,98,23.36221135078188,2,3,738237
2022-03-24,123.41018429826616,51.02097436109589,26,17.24248704889687,3,3,738238
2022-03-25,125.80256189860766,49.17691072066559,52,18.26795042442012,4,3,738239
2022-03-26,127.1405619253756,52.46569361662087,96,24.200433742812223,5,3,738240
2022-03-27,126.86266010320212,46.36926168189308,91,16.621550936827376,6,3,738241
2022-03-28,154.5091354111407,50.45723513337354,85,22.854748008821048,0,3,738242
2022-03-29,125.15259802339833,52.385342210342,64,17.01788987109164,1,3,738243
2022-03-30,128.3196071051677,51.00200120525232,46,21.472402711318697,2,3,738244
2022-03-31,115.7993597258615,48.242216311499845,26,21.17763643338042,3,3,738245
2022-04-01,132.89093335411118,51.59794633613247,91,21.38197254348345,4,4,738246
2022-04-02,115.97696771862796,47.46926043994888,40,21.421342216477715,5,4,738247
2022-04-03,125.89207896928096,51.4701022578944,48,22.721384563492197,6,4,738248
2022-04-04,143.1117489189162,50.93409369239399,93,22.18164306541388,0,4,738249
2022-04-05,113.5676343165192,50.25582896316735,10,20.66372105988697,1,4,738250
2022-04-06,122.99535162638396,47.4318285961041,40,20.34130689291749,2,4,738251
2022-04-07,122.6542433879191,53.15805239758163,27,19.13840495298111,3,4,738252
2022-04-08,136.6493455598873,52.66283327304664,88,21.410489142569304,4,4,738253
2022-04-09,128.02184152086122,50.02575887645906,17,20.664583043589616,5,4,738254
2022-04-10,130.32355885407102,52.29977411169213,98,21.21400290152166,6,4,738255
2022-04-11,151.43737645061242,46.0610050073145,48,18.445358702003563,0,4,738256
2022-04-12,119.91107437677432,48.961090848756186,22,21.55253184293998,1,4,738257
2022-04-13,116.90450293201982,45.79473233567142,29,18.53177669830124,2,4,738258
2022-04-14,131.6363089916524,46.57012852066426,88,20.99975549211545,3,4,738259
2022-04-15,129.19700055681483,51.64298967079236,42,18.070960000647524,4,4,738260
2022-04-16,127.53565895720553,49.74856368892199,77,20.145064696361278,5,4,738261
2022-04-17,123.1980243080758,52.10717284932855,49,18.457821240754186,6,4,738262
2022-04-18,134.01417451410416,52.99624857882513,69,20.801543904719587,0,4,738263
2022-04-19,121.24370822811154,54.49292690478321,27,19.21708317756617,1,4,738264
2022-04-20,127.97590737585551,45.532581189359455,82,18.89235290816895,2,4,738265
2022-04-21,124.00483804759811,53.67457721909955,62,22.38253484202815,3,4,738266
2022-04-22,120.92440853362582,43.71449838436288,37,22.0795292176676,4,4,738267
2022-04-23,119.61504458341032,48.89263519562472,43,17.075247597723774,5,4,738268
2022-04-24,113.90428059151772,47.73729725079846,57,20.79686008783704,6,4,738269
2022-04-25,151.53826723675195,50.09903831729313,83,18.3491672760665,0,4,738270
2022-04-26,120.23490789761372,51.03029733685221,30,20.347919503510244,1,4,738271
2022-04-27,121.51082190662076,51.74666527649031,19,19.668131848485363,2,4,738272
2022-04-28,116.5814179587518,46.71921176840191,22,20.0805343549518,3,4,738273
2022-04-29,115.19990944636028,51.78508518032633,21,20.217912910327428,4,4,738274
2022-04-30,123.18977258301788,44.33937420690102,12,21.69840120764531,5,4,738275
2022-05-01,131.73866116483475,48.91037952357315,83,16.721888615274526,6,5,738276
2022-05-02,146.95686195745304,54.2614022206955,13,21.88323137873124,0,5,738277
2022-05-03,125.83181280230843,48.346059250963954,76,21.138698828722102,1,5,738278
2022-05-04,123.69436680073154,55.02983325780263,61,18.735110285693963,2,5,738279
2022-05-05,111.52490903310354,50.21555251274309,99,18.594008147729344,3,5,738280
2022-05-06,125.41956641968378,51.96887651895016,54,17.55100373271142,4,5,738281
2022-05-07,118.3748625733723,53.94741092645175,69,21.721452277261964,5,5,738282
2022-05-08,119.98579841088234,48.36515387481065,66,20.92453201287809,6,5,738283
2022-05-09,146.99403913496937,53.99753683594605,52,18.699718519366517,0,5,738284
2022-05-10,126.55892620313888,51.32392531882599,48,21.42403351004554,1,5,738285
2022-05-11,130.9323987001237,47.64163538895649,60,20.867361025927675,2,5,738286
2022-05-12,123.61364682875607,45.96348413530982,60,21.626957832000294,3,5,738287
2022-05-13,121.49502398771278,48.16171291138181,67,20.82259397318526,4,5,738288
2022-05-14,120.82604489513976,46.30291310729738,20,20.72561899749949,5,5,738289
2022-05-15,121.0784524453578,48.50097017916283,49,17.224141619682797,6,5,738290
2022-05-16,150.79634111434706,50.31594911978598,83,19.946901426186283,0,5,738291
2022-05-17,117.38321527086126,50.94046528032388,11,19.485480350800955,1,5,738292
2022-05-18,125.961013230214,50.43886566184075,73,19.28467532152997,2,5,738293
2022-05-19,119.47986347590084,50.26757629778016,29,18.97407312586182,3,5,738294
2022-05-20,123.24853607669012,47.52492605581823,45,19.333250368218764,4,5,738295
2022-05-21,118.59398666735156,51.52180737222292,57,21.51374768013937,5,5,738296
2022-05-22,116.81529712668592,52.19051998959173,11,20.11241650341939,6,5,738297
2022-05-23,142.72864643156066,52.34227232810851,72,17.66977029827618,0,5,738298
2022-05-24,133.37359746042975,48.328994050653066,96,14.73013327405548,1,5,738299
2022-05-25,118.35226344165665,47.93187821753181,64,20.83984992693372,2,5,738300
2022-05-26,127.31186826814644,49.62186310217485,65,18.624212708135957,3,5,738301
2022-05-27,131.42719981730127,52.740175774319695,34,21.544369109792108,4,5,738302
2022-05-28,109.66056914067887,50.49812678948544,45,14.400772454806084,5,5,738303
2022-05-29,119.76304900243773,51.08889934743089,16,20.10717035738695,6,5,738304
2022-05-30,155.1266147421706,56.00512344060501,86,18.49686369280916,0,5,738305
2022-05-31,130.42853154253896,52.37101402573436,37,19.918587581080235,1,5,738306
2022-06-01,155.23095260704645,46.85868824120983,74,19.363152977159864,2,6,738307
2022-06-02,158.2455231209976,48.81465597242665,69,17.558259453878865,3,6,738308
2022-06-03,155.20889132902198,51.94080876685257,92,13.030916358738692,4,6,738309
2022-06-04,161.53375269656706,59.220604080277575,83,19.3035644631628,5,6,738310
2022-06-05,152.36872408345045,53.85275619805902,46,18.22241389948136,6,6,738311
2022-06-06,175.82796759465828,48.08800598897897,55,22.19183127898789,0,6,738312
2022-06-07,156.3959433731314,52.17372215008179,55,21.2064525548168,1,6,738313
2022-06-08,154.38946890072157,49.98901965360235,56,19.055942507246694,2,6,738314
2022-06-09,155.53832239186278,49.63124507165357,78,21.991873432312246,3,6,738315
2022-06-10,143.73733024083154,50.807257235052994,91,19.303469973671177,4,6,738316
2022-06-11,150.84988461035155,50.28798444038618,40,21.95041565600863,5,6,738317
2022-06-12,162.392973796116,50.214143000988656,84,21.65964276894013,6,6,738318
2022-06-13,178.3405037852739,46.65646430996312,95,18.08399132266855,0,6,738319
2022-06-14,143.90315481526423,50.01698964667838,12,18.299382037607018,1,6,738320
2022-06-15,161.92252947102386,50.88016418924568,96,16.725416703399397,2,6,738321
2022-06-16,162.727024861682,53.72379162960356,56,18.520047881592216,3,6,738322
2022-06-17,159.00789668881296,48.19706589092342,25,20.36356101789139,4,6,738323
2022-06-18,152.4593105318986,52.043749816318496,43,21.259173967119185,5,6,738324
2022-06-19,155.1360003219162,50.83769738821083,89,18.050948282070788,6,6,738325
2022-06-20,200.27327982672105,50.96133729320476,75,21.11305341455924,0,6,738326
2022-06-21,159.75205362451595,52.30937969069884,48,16.680249012371682,1,6,738327
2022-06-22,144.2244693373766,48.02314322001628,41,22.098634500185625,2,6,738328
2022-06-23,162.52537545194525,48.963673590201815,76,17.700281513049994,3,6,738329
2022-06-24,159.4113742665226,51.686260445370806,58,21.94559664740315,4,6,738330
2022-06-25,150.91867037293434,46.52188226953048,20,22.35681297114654,5,6,738331
2022-06-26,137.67538145542696,51.87751050390697,15,19.190340513454174,6,6,738332
2022-06-27,175.6737957197007,50.66398220002844,87,20.23446482167741,0,6,738333
2022-06-28,149.0688030157899,54.92329749425316,80,22.95316978295372,1,6,738334
2022-06-29,159.1447341018877,48.64383033172949,69,15.511649135122248,2,6,738335
2022-06-30,153.0991781563729,53.56677537118942,55,19.14965045263898,3,6,738336
2022-07-01,154.84292545849192,52.03530739488071,40,23.96018702517281,4,7,738337
2022-07-02,152.12834376642078,49.82360866355834,50,18.819549065722157,5,7,738338
2022-07-03,155.61769906962172,51.52589872128304,59,19.12848252443924,6,7,738339
2022-07-04,185.3932946272296,48.97775703334971,46,22.113783706332068,0,7,738340
2022-07-05,157.02400259081395,47.77795290941644,35,18.971639905743103,1,7,738341
2022-07-06,157.89919622987443,47.88760076512063,77,18.728989529822904,2,7,738342
2022-07-07,143.11329105921183,54.68044040325375,37,20.18145518657941,3,7,738343
2022-07-08,164.58273565161872,49.26856025022481,92,22.135239562649414,4,7,738344
2022-07-09,144.51711328003302,48.85964702872937,80,14.942194340067037,5,7,738345
2022-07-10,160.17170087942048,48.73847387198478,56,18.710527072450347,6,7,738346
2022-07-11,181.52785754266768,48.828222891091976,67,18.018621954808765,0,7,738347
2022-07-12,161.48303708702352,52.12933119192011,84,20.50358240130287,1,7,738348
2022-07-13,158.05656100863266,48.75147375244438,74,21.00823969981821,2,7,738349
2022-07-14,140.01337116547066,48.24768746069707,24,21.46792415413756,3,7,738350
2022-07-15,162.48132906529747,45.57221995728567,37,15.971789019036075,4,7,738351
2022-07-16,154.50936161357492,48.043423938998814,76,19.221919260233733,5,7,738352
2022-07-17,148.714278320038,46.98868723371633,64,21.39937846705028,6,7,738353
2022-07-18,191.78991551141257,52.64296450681262,26,18.40062322331688,0,7,738354
2022-07-19,161.56649344985533,40.14295924204466,21,23.313715703503775,1,7,738355
2022-07-20,150.62441264177806,50.7418364935415,57,20.81639489258318,2,7,738356
2022-07-21,161.2997229554945,44.69364740647628,92,18.78302455951649,3,7,738357
2022-07-22,167.5835372953158,48.951429919382136,86,19.14585551443958,4,7,738358
2022-07-23,162.6999481137535,50.78486331292958,37,22.21548482776697,5,7,738359
2022-07-24,162.29283538723917,47.34848521277478,68,22.800339018055183,6,7,738360
2022-07-25,198.8629720777488,56.014887496553726,81,21.00261938342566,0,7,738361
2022-07-26,153.7022031551555,44.06904505049539,70,18.304720261356568,1,7,738362
2022-07-27,145.5493230889541,49.393659935870566,75,17.345184108763913,2,7,738363
2022-07-28,151.34361693794028,45.717711066104044,45,20.025691084609424,3,7,738364
2022-07-29,148.17068658386933,47.23903591157234,57,19.93744490154359,4,7,738365
2022-07-30,159.2599755191755,51.31476788563034,19,21.511750552688067,5,7,738366
2022-07-31,151.65936022300042,52.8193980562695,13,19.61894775564563,6,7,738367
2022-08-01,181.10804490221625,48.48170901452112,14,19.718100183090336,0,8,738368
2022-08-02,154.81229877919836,50.98343415905936,44,21.728286854249816,1,8,738369
2022-08-03,154.1366536065009,47.74145022778084,36,22.30993971472035,2,8,738370
2022-08-04,151.6082782221513,47.55114784582183,23,18.602986315932597,3,8,738371
2022-08-05,142.386466803609,46.52059183808232,30,21.618207953383905,4,8,738372
2022-08-06,146.33201774482842,43.65628524472297,50,18.0896194056388,5,8,738373
2022-08-07,158.00346142837068,48.29777535684824,68,17.740363457167735,6,8,738374
2022-08-08,164.18889533688213,50.43892688386705,18,21.26784933194065,0,8,738375
2022-08-09,154.99383544063534,49.51084029111293,55,18.528944208224186,1,8,738376
2022-08-10,154.18997762230552,51.368476950933136,55,22.77097265593192,2,8,738377
2022-08-11,157.2411191444328,52.82329192825929,95,18.60412800625198,3,8,738378
2022-08-12,157.44464772538666,46.591242509838345,89,18.916322035720054,4,8,738379
2022-08-13,152.96917923194573,45.85668992327221,34,20.2151147443549,5,8,738380
2022-08-14,159.84469363388354,46.515357492056566,57,20.62192064249588,6,8,738381
2022-08-15,179.0974722257791,55.68210838398343,90,19.92075878384264,0,8,738382
2022-08-16,155.28940234193848,50.70432451638335,83,20.230142285970604,1,8,738383
2022-08-17,155.31953487047284,49.53814817648278,72,22.69745369348322,2,8,738384
2022-08-18,160.68303159001576,47.76976755782793,56,17.103780380934765,3,8,738385
2022-08-19,152.3756441523619,49.8917987476962,35,20.94692387218644,4,8,738386
2022-08-20,166.09202059742816,52.54042166960661,43,17.49350928353583,5,8,738387
2022-08-21,148.35407287104425,51.72798458836344,41,17.684729795073594,6,8,738388
2022-08-22,184.2575796499379,48.90281936629916,84,20.16536426513465,0,8,738389
2022-08-23,150.93623724143512,46.70031982680239,48,18.01907226938321,1,8,738390
2022-08-24,160.16961994267442,50.27313883145259,70,21.05056012078949,2,8,738391
2022-08-25,143.77224430579614,47.8666692608636,37,17.486215016827362,3,8,738392
2022-08-26,151.24241032327666,46.75110577178904,62,19.09485659661507,4,8,738393
2022-08-27,157.83380266069742,49.85459336353368,11,21.905129294424903,5,8,738394
2022-08-28,152.9031026583743,47.16885377318352,66,20.588027558222667,6,8,738395
2022-08-29,166.32245145600697,47.7284023653258,93,18.48559029749838,0,8,738396
2022-08-30,159.01901860459446,49.35622448625837,83,21.044622344536744,1,8,738397
2022-08-31,143.68825680549963,45.16590287014253,51,22.685939126842207,2,8,738398
2022-09-01,127.24312040946896,49.57761586774721,84,19.844399285656543,3,9,738399
2022-09-02,122.40268027273495,48.73175458791266,51,23.426372589906357,4,9,738400
2022-09-03,116.9990153697606,52.15137641110172,15,21.587211409659623,5,9,738401
2022-09-04,121.98196165656697,51.322127099305554,96,22.74891809996422,6,9,738402
2022-09-05,140.1638343660134,52.07258193422168,85,17.45243277166642,0,9,738403
2022-09-06,125.0968767171905,50.378762812577165,37,19.81587392365634,1,9,738404
2022-09-07,113.1142098949626,47.423720194017925,16,19.492597668082464,2,9,738405
2022-09-08,129.39175166498978,55.346863996701096,98,22.59362164496933,3,9,738406
2022-09-09,123.9871106693441,50.68978960145913,50,22.212244344766265,4,9,738407
2022-09-10,137.90369398714546,47.89203308995353,29,24.5607916295184,5,9,738408
2022-09-11,117.248582167717,52.02389713426771,35,17.419986135749685,6,9,738409
2022-09-12,141.2248442284302,47.481088239568045,32,20.37891340116644,0,9,738410
2022-09-13,122.1387826113343,42.552008114276525,36,19.07457568479965,1,9,738411
2022-09-14,122.71777976566868,48.22879799959036,66,16.534870316573574,2,9,738412
2022-09-15,128.378706273552,49.20568121128655,95,18.92372442143021,3,9,738413
2022-09-16,130.65947931961483,54.20913800559082,42,20.08868401038617,4,9,738414
2022-09-17,125.61275350315525,47.55817542364538,58,20.61373455821885,5,9,738415
2022-09-18,118.58342641413198,50.66275900430902,16,18.96739575959142,6,9,738416
2022-09-19,144.8964644802757,45.39974467299105,79,22.012454416666284,0,9,738417
2022-09-20,111.38298368842727,50.220940840241056,17,23.023093396245528,1,9,738418
2022-09-21,129.7017316296647,52.062525882274365,79,20.868743937198104,2,9,738419
2022-09-22,118.27616555331709,47.43323181429889,71,18.17757732256453,3,9,738420
2022-09-23,122.18681880356355,52.37709403565511,77,22.97834648945588,4,9,738421
2022-09-24,129.39892262013743,48.56868752048605,75,21.81524329230889,5,9,738422
2022-09-25,125.94053516204832,47.68412329451055,72,18.420822807963287,6,9,738423
2022-09-26,137.63400298814437,45.87066039626553,21,19.799839449999457,0,9,738424
2022-09-27,120.59313980134648,45.240747487318224,15,21.87742207127611,1,9,738425
2022-09-28,129.80565089287288,54.92988265331184,66,17.507592442673072,2,9,738426
2022-09-29,124.02164441490204,49.279622488162175,79,20.20159005462836,3,9,738427
2022-09-30,139.61982277738946,50.291143105193854,77,18.22931101665988,4,9,738428
2022-10-01,127.81728001486044,51.72396231386548,60,18.93455856910084,5,10,738429
2022-10-02,130.12315856966154,51.25442619749479,54,21.587753224155044,6,10,738430
2022-10-03,141.500471558991,51.7965924082262,38,21.990067329399224,0,10,738431
2022-10-04,127.4951314678586,50.92527678887242,52,22.277924627386675,1,10,738432
2022-10-05,125.21265424643464,53.83417972956008,52,16.901476648785493,2,10,738433
2022-10-06,122.68219816733549,50.95926205532745,67,22.76354405247874,3,10,738434
2022-10-07,120.94493808622786,51.20085256350276,28,19.23152353513216,4,10,738435
2022-10-08,124.0191357325887,47.67102938650202,28,20.335101520325274,5,10,738436
2022-10-09,122.7919053956058,52.61864182969296,48,19.462561115011056,6,10,738437
2022-10-10,146.0227086034642,52.86564347836253,67,19.770351483457414,0,10,738438
2022-10-11,123.12138739985832,52.01029682624191,72,21.29712147420033,1,10,738439
2022-10-12,122.9524910191179,50.09666974062458,98,22.11717671894824,2,10,738440
2022-10-13,124.5948330305998,54.605052873785645,11,21.60217976639253,3,10,738441
2022-10-14,117.680330412684,51.793520025687975,25,22.19772315791166,4,10,738442
2022-10-15,119.8300193185813,44.64217361299245,18,20.98198859958399,5,10,738443
2022-10-16,126.04440748844355,47.49882601081256,93,22.92165364912092,6,10,738444
2022-10-17,141.4503894100723,46.29520063138276,59,19.5718813446247,0,10,738445
2022-10-18,127.96938380360211,50.96436095823627,85,15.65389847060538,1,10,738446
2022-10-19,120.7877807050645,49.37167708810796,89,21.62596094270127,2,10,738447
2022-10-20,122.53735155639438,41.86364696353402,58,20.031735201129223,3,10,738448
2022-10-21,124.61947126606576,45.13316997341692,51,20.415941274568745,4,10,738449
2022-10-22,124.49026793446431,55.3385071810804,15,16.00486209081933,5,10,738450
2022-10-23,124.04040026492832,46.37804843949951,92,19.407508980508748,6,10,738451
2022-10-24,149.9553673146065,51.75299188407099,31,20.39212389289438,0,10,738452
2022-10-25,117.05342886497914,48.69722171893068,55,17.634217380227113,1,10,738453
2022-10-26,129.50880111769635,50.53755697073639,98,21.517208672108524,2,10,738454
2022-10-27,126.79410839781065,50.87291131435494,38,17.69630833740836,3,10,738455
2022-10-28,125.79841319739371,47.78707701107202,77,21.53057425397299,4,10,738456
2022-10-29,122.67149658919004,50.38764446659841,96,16.91360154919315,5,10,738457
2022-10-30,127.8470547830746,50.20433958231637,94,23.99543207165067,6,10,738458
2022-10-31,141.39523737384835,51.115623193295015,47,18.643018432191734,0,10,738459
2022-11-01,126.47027532630231,53.37884802316163,61,21.055936833496197,1,11,738460
2022-11-02,128.42141233692675,51.29395129583604,81,20.427384530183076,2,11,738461
2022-11-03,131.16976263365893,52.44708821816049,74,20.36060309789386,3,11,738462
2022-11-04,118.3584564912366,46.672648016182144,75,21.49405700315639,4,11,738463
2022-11-05,133.0370426858184,53.11499396710847,80,19.870699928604672,5,11,738464
2022-11-06,132.93462166216776,51.11919170882689,48,19.581198519679774,6,11,738465
2022-11-07,137.03693125620032,45.88723529769428,34,18.62164272671635,0,11,738466
2022-11-08,117.65639573624026,56.37069844430612,10,20.148935185766906,1,11,738467
2022-11-09,125.26905794332863,53.58771402906056,70,21.549442408190316,2,11,738468
2022-11-10,117.51223088599798,48.97359674241934,59,20.87302810647884,3,11,738469
2022-11-11,116.53743867929909,48.36482997288855,16,20.36411147294761,4,11,738470
2022-11-12,122.5770198924258,51.111952058334815,91,18.534842648709454,5,11,738471
2022-11-13,128.9715526974614,51.79969189708475,78,21.20394015286201,6,11,738472
2022-11-14,138.15953673033525,51.477707740565975,14,22.88167477138872,0,11,738473
2022-11-15,129.26341165796416,51.93271940244847,82,18.440288531685493,1,11,738474
2022-11-16,129.78791748854215,50.89316405741834,85,18.115602782768,2,11,738475
2022-11-17,136.50204129528598,52.5383660192961,41,17.285239246167066,3,11,738476
2022-11-18,121.816457158506,52.19673178642007,61,22.143239975039176,4,11,738477
2022-11-19,121.74264421681812,49.49154459977693,36,19.12657894467453,5,11,738478
2022-11-20,119.41695711850755,48.85305125501528,23,26.631406510423883,6,11,738479
2022-11-21,145.1196852885962,53.00434047221928,47,21.53385320811097,0,11,738480
2022-11-22,130.96927095509253,51.72293813551335,58,17.661945200436573,1,11,738481
2022-11-23,118.6454454260072,49.542340965267705,42,20.80973325095789,2,11,738482
2022-11-24,130.43920654671103,50.80045914489239,31,18.43067655797863,3,11,738483
2022-11-25,127.93365987148222,52.37198057648549,11,26.412953936472324,4,11,738484
2022-11-26,127.7012208305204,53.48299313491003,93,21.152413574804303,5,11,738485
2022-11-27,121.96247914889769,47.19338232743974,34,19.00039304802511,6,11,738486
2022-11-28,139.51278030792298,51.208082537457095,35,18.839499820377387,0,11,738487
2022-11-29,130.56933600794795,54.59289067657412,97,18.108166723239105,1,11,738488
2022-11-30,126.66840255672112,48.54201646157644,77,18.244623794070115,2,11,738489
2022-12-01,133.86808513790814,45.91981501989214,91,19.04291934163073,3,12,738490
2022-12-02,128.1099566638744,47.458864166469866,98,20.579568763429396,4,12,738491
2022-12-03,127.9888775876733,49.932086177023656,80,25.12838184715528,5,12,738492
2022-12-04,122.10752550568246,51.1401160852084,38,20.48416393698005,6,12,738493
2022-12-05,134.10953211540496,50.86113782761521,17,17.16152234709779,0,12,738494
2022-12-06,133.8604629756066,51.2028302506017,34,19.763121708281247,1,12,738495
2022-12-07,127.30167528629283,49.405697902555424,85,14.173486532582572,2,12,738496
2022-12-08,123.62931773579916,47.33282990470029,70,20.75216763372271,3,12,738497
2022-12-09,117.50755793868537,47.83452659919247,16,19.81053655661545,4,12,738498
2022-12-10,126.2802033777308,51.24964478792528,65,19.30593464898383,5,12,738499
2022-12-11,125.20903425171149,49.49016158349176,98,17.145848634406402,6,12,738500
2022-12-12,148.00773526565146,50.42793502605367,63,18.92807936818559,0,12,738501
2022-12-13,122.99499093169165,51.24479255437456,50,18.684051333996816,1,12,738502
2022-12-14,119.9718316470932,53.16182878506073,25,20.43043987660312,2,12,738503
